count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid,final
43,healthy,controls,,21.0,0.0,,,,,,0,4727,5826,4492789,
60,healthy,healthy,,,,,,,,,0,7479,10011,4396619,
30,children,patients,children,19.0,11.0,10.2,7-12,7.0,12.0,,0,7479,10011,4396619,
30,adults,patients,adults,24.0,6.0,24.2,18-31,18.0,31.0,,0,7479,10011,4396619,
27,morbidly obese,patients,neurologically intact,,,41.4,,,,,0,5932,6592,4320085,
14,normal-weight,healthy,age-matched,,,22.6,,,,,0,5932,6592,4320085,
20,cirrhotic patients with MHE,patients,MHE,,,,,,,,1,6253,7426,4890427,
23,cirrhotic patients without MHE,patients,NHE,,,,,,,,1,6253,7426,4890427,
18,healthy controls,healthy,,,,,,,,,1,6253,7426,4890427,
30,healthy,healthy,,15.0,0.0,21.74,19-24,19.0,24.0,21.74,0,10779,11578,5585191,
6,normal,healthy,young adults,5.0,1.0,28.5,22-35,22.0,35.0,28.0,0,10745,11773,3894920,
31,healthy,patients,adults,14.0,17.0,,,,,,0,8818,10414,3922109,
12,recent onset of tinnitus,patients,RTIN,5.0,7.0,48.1,10.3,48.1,58.4,48.1,0,6818,10523,4515536,
13,tinnitus for more than 1 year,patients,LTIN,9.0,4.0,54.7,7.0,47.7,61.7,54.7,0,6818,10523,4515536,
332,,participants,,,,,,,,,0,9432,11473,3967532,
45,chronic bilateral tinnitus,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,5175,7585,8240196,
50,non-tinnitus controls,healthy,,0.0,0.0,0.0,,0.0,0.0,0.0,0,5175,7585,8240196,
20,migraine,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,5175,7585,8240196,
25,tinnitus patients without migraine,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,5175,7585,8240196,
11,ischemic stroke,patients,left frontoparietal stroke patients,,,,,,,,0,5335,7061,6532294,
21,,smokers,right-handed male,21.0,,25.86,22-30 years,22.0,30.0,,1,8476,9145,3602016,
7,low grade gliomas and cavernous angiomas,patients,right-handed,4.0,0.0,41.4,36-48,36.0,48.0,41.0,0,8363,9345,6193478,
36,relapsing-remitting MS,patients,,,,,,,,,2,6604,8477,7973271,
36,healthy,healthy,,,,26.6,,,,,0,6318,6755,6786756,
5,stroke,participants,,,2.0,57.4,41-74,41.0,74.0,57.4,0,13831,15121,4793190,
30,healthy,older adults,,,,70.1,65-80,65.0,80.0,,0,8649,9396,5810285,
15,,training,,,,,,,,,0,8649,9396,5810285,
15,,control,,,,,,,,,0,8649,9396,5810285,
15,Japanese-L1/English-L2,patients,J1/E2,13.0,32.0,29.3,6.4 years,0.0,0.0,0.0,0,8967,11404,4006067,
14,English-L1/Japanese-L2,patients,E1/J2,0.0,0.0,26.2,5.7 years,0.0,0.0,0.0,0,8967,11404,4006067,
16,Control monolingual,healthy,E1,0.0,0.0,25.7,5.3 years,0.0,0.0,0.0,0,8967,11404,4006067,
36,free of psychiatric or neurologic disorders,participants,female,,36.0,22.0,,,,,0,7477,8243,5485378,
79,ASD,patients,children,,,,,,,,0,5973,7509,5025431,
105,TD,healthy,children,,,,,,,,0,5973,7509,5025431,
22,,,,,,,,,,,0,11647,14534,5638238,
21,,,,,,,,,,,0,11647,14534,5638238,
1,,,,,,,,,,,0,11647,14534,5638238,
13,,,,,,,,,,,0,11647,14534,5638238,
3,,,,,,,,,,,0,11647,14534,5638238,
19,,,,,,,,,,,0,11647,14534,5638238,
18,,,,,,,,,,,0,11647,14534,5638238,
1,,,,,,,,,,,0,11647,14534,5638238,
19,,,,,,,,,,,0,11647,14534,5638238,
13,,,,,,,,,,,0,11647,14534,5638238,
32,,healthy,righthanded current ecigarette users,32.0,,,,,,,0,10922,14186,8519860,
19,,healthy,subjects,19.0,,,,,,,0,10922,14186,8519860,
24,,,,,,24.4,,,,,0,8959,9612,7033450,
60,PD,patients,PD-NC,15.0,,63.11,9.27,,,,0,7468,8625,6338059,
60,PD,patients,PD-MCI,16.0,,62.59,6.61,,,,0,7468,8625,6338059,
30,,healthy,,11.0,,59.44,5.77,,,,0,7468,8625,6338059,
38,medically refractory TLE and unilateral hippocampal sclerosis (HS),patients,,,,,,,,,0,6651,7835,3677092,
15,healthy,healthy,,,,,,,,,0,6651,7835,3677092,
2,aphasia,patients,Participant 1,0.0,1.0,65.0,65,65.0,65.0,65.0,0,14452,16669,6092994,
2,aphasia,patients,Participant 2,0.0,1.0,72.0,72,72.0,72.0,72.0,0,14452,16669,6092994,
21,idiopathic PD,patients,,14.0,7.0,,,,,,0,6018,9180,3045463,
19,healthy,healthy,,12.0,7.0,,,,,,0,6018,9180,3045463,
40,,Donors,,,,,,,,,0,47678,49956,2713432,
55,PD patients,patients,,,,,,,,,0,30584,31278,8885704,
48,healthy controls,healthy,,,,,,,,,0,30584,31278,8885704,
29,AD,patients,,,18.0,72.33,,,,,1,8081,9414,6905409,
65,MCI,patients,,,29.0,71.8,,,,,1,8081,9414,6905409,
30,NC,healthy,,,19.0,74.18,,,,,1,8081,9414,6905409,
1,healthy,patients,group1,10.0,15.0,30.0,20-40,20.0,40.0,25.0,0,26726,29484,3178514,
2,patients,healthy,group2,5.0,8.0,45.0,40-50,40.0,50.0,47.0,0,26726,29484,3178514,
17,patients,patients,,6.0,11.0,43.5,,0.0,0.0,0.0,0,10807,13847,7687999,
17,healthy,healthy,,0.0,0.0,0.0,,0.0,0.0,0.0,0,10807,13847,7687999,
20,MSA-c type,patients,,0.0,0.0,,,,,,0,6281,8356,6328464,
20,normal,subjects,,0.0,0.0,,,,,,0,6281,8356,6328464,
30,schizophrenia,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,11838,14392,4738294,
26,healthy,controls,,0.0,0.0,0.0,,0.0,0.0,0.0,0,11838,14392,4738294,
8,Mah-Jong experts,patients,right-handed males,8.0,0.0,30.8,6.9 years,30.8,37.7,30.8,0,15836,17242,1698492,
12,healthy volunteers,healthy,nave to Mah-Jong,6.0,6.0,29.8,6.5 years,29.8,36.3,29.8,0,15836,17242,1698492,
25,,participants,,12.0,13.0,21.82,18-29,18.0,29.0,21.0,0,14926,15569,3404037,
30,,,,10.0,,,1825,,,,0,15988,18765,5881103,
31,,patients,,30.0,31.0,,,,,,0,13535,14516,5991324,
776,ADHD,patients,training,400.0,376.0,25.0,18-40,18.0,40.0,26.0,0,9921,12013,3499771,
197,ADHD,patients,test,100.0,97.0,27.0,20-45,20.0,45.0,28.0,0,9921,12013,3499771,
68,,healthy,,68.0,,,,,,,0,10258,11069,6234325,
40,,healthy,,,40.0,,,,,,0,10258,11069,6234325,
30,healthy,EG,,15.0,0.0,32.6,10.3,0.0,0.0,0.0,0,24885,26367,8566670,
15,,NG,,0.0,0.0,0.0,,0.0,0.0,0.0,0,24885,26367,8566670,
11,,volunteer adults,,0.0,5.0,23.91,,,,,0,8965,9714,5012606,
49,,volunteer adults,preliminary behavioral experiment,,,,,,,,0,8965,9714,5012606,
17,healthy,nave,individuals,,9.0,20.0,,,,,0,5641,6353,6529676,
45,,patients,,21.0,24.0,29.0,,,,,0,6831,9378,4299407,
7,North American football fan,Fans,,4.0,3.0,30.7,22-57,22.0,57.0,,0,9142,11021,6043673,
8,Non-Fans,Non-Fans,,4.0,4.0,30.7,22-57,22.0,57.0,,0,9142,11021,6043673,
16,depressed patients,patients,,6.0,,48.5,48.5-13.6,13.6,48.5,,0,6054,9196,4872412,
10,healthy age-matched volunteers,healthy,,,5.0,45.6,45.6-13.1,13.1,45.6,,0,6054,9196,4872412,
4,MS,control,,2.0,2.0,50.3,7.3,50.3,57.6,50.3,0,8088,9463,8384810,
5,MS,experimental,,2.0,3.0,49.0,7.3,49.0,56.3,49.0,0,8088,9463,8384810,
37,HTAs,patients,Trait Anger,20.0,0.0,25.5,1.8,25.5,25.5,25.5,0,6843,9631,5908080,
17,controls,healthy,,17.0,0.0,11.8,0.49,11.8,11.8,11.8,0,6843,9631,5908080,
62,patient cases,patients,,32.0,30.0,27.9,14 yr to 48 yr,14.0,48.0,,0,14455,15287,5655301,
64,controls,healthy,controls,35.0,29.0,29.1,15 to 45,15.0,45.0,,0,14455,15287,5655301,
50,tinnitus,patients,group A,25.0,25.0,40.0,30-50,30.0,50.0,35.0,0,20435,22238,4975911,
30,healthy,healthy,group B,15.0,15.0,35.0,25-45,25.0,45.0,30.0,0,20435,22238,4975911,
13,chronic pain,patients,,4.0,9.0,51.8,43 to 65,43.0,65.0,,0,8990,10646,4048172,
13,no chronic pain,healthy,,4.0,9.0,48.7,38 to 62,38.0,62.0,,0,8990,10646,4048172,
30,healthy,participants,,,,,,,,,0,6353,10031,7329310,
22,CADASIL,patients,genetically confirmed,,,,,,,,0,7660,8902,6734224,
44,,healthy,,,,,,,,,0,7660,8902,6734224,
31,NAION,patients,,,,,,,,,0,4884,7049,7499295,
31,NCs,healthy,,,,,,,,,0,4884,7049,7499295,
16,22q11DS,patients,,,,,,,,,0,7507,9011,3930118,
25,healthy,controls,,,,,,,,,0,7507,9011,3930118,
23,ADHD,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,8102,11698,6934617,
23,healthy,controls,,0.0,0.0,0.0,,0.0,0.0,0.0,0,8102,11698,6934617,
20,CBP,patients,,,,,,,,,0,7170,10225,8886665,
20,CM,patients,,,,,,,,,0,7170,10225,8886665,
24,healthy,participants,,13.0,11.0,12.87,8-16.83,8.0,16.83,,0,12091,12816,3872298,
12,,children,,,,10.46,,,,1.64,0,12091,12816,3872298,
12,,adolescents,,,,15.28,,,,1.4,0,12091,12816,3872298,
25,isolated left BG ischemic stroke,patients,,18.0,,52.73,3973,10.51,,,0,6871,8369,7533550,
26,,Hcs,,15.0,,51.84,3070,8.06,,,0,6871,8369,7533550,
40,healthy,healthy,,,,,,,,,0,9710,13641,6523415,
30,high fitness,patients,high fitness,0.0,0.0,0.0,,0.0,0.0,0.0,2,15255,17280,7509111,
30,low fitness,patients,low fitness,0.0,0.0,0.0,,0.0,0.0,0.0,2,15255,17280,7509111,
43,high plasticity,patients,high plasticity,0.0,0.0,0.0,,0.0,0.0,0.0,2,15255,17280,7509111,
17,low plasticity,patients,low plasticity,0.0,0.0,0.0,,0.0,0.0,0.0,2,15255,17280,7509111,
24,aphasia after stroke,patients,,16.0,8.0,51.16,9.48,18.0,70.0,,0,9009,11164,8565294,
19,healthy,controls,HC,10.0,9.0,48.39,10.66,18.0,70.0,,0,9009,11164,8565294,
1,minimally conscious state,patients,,1.0,0.0,,,,,,0,6205,7204,8894202,
24,,,,8.0,,,18-38,,,,0,7440,8083,4679864,
16,healthy,healthy,,8.0,0.0,21.6,18-90,18.0,90.0,21.6,0,7671,8888,3139954,
30,healthy,patients,right-handed native French-speaking participants,13.0,17.0,29.3,29.3 - 29.3,29.3,29.3,29.3,0,6497,8451,3946483,
15,,participants,,4.0,11.0,7.2,6.3 to 7.9 years,6.3,7.9,,0,13758,15843,4270260,
20,acute ischemic stroke patients with hand motor impairment,patients,,17.0,3.0,50.95,30-71,30.0,71.0,,2,6215,8534,5515815,
16,healthy subjects,healthy,,12.0,4.0,54.25,35-68,35.0,68.0,,2,6215,8534,5515815,
54,regular CUs,patients,CUs,,,,,,,,1,7650,8658,8459240,
54,matched nonCUs,patients,NonCUs,,,,,,,,1,7650,8658,8459240,
22,healthy,healthy,"right-handed, male volunteers",22.0,0.0,23.0,19-28,19.0,28.0,23.0,0,14632,16308,3847547,
11,chess experts,chess experts,recruited from the UT Dallas Chess Program,11.0,0.0,23.0,19-28,19.0,28.0,23.0,0,14632,16308,3847547,
6,healthy males who were chess novices,healthy males who were chess novices,,6.0,0.0,25.0,21-27,21.0,27.0,25.0,0,14632,16308,3847547,
5,players with some tournament experience in chess,players with some tournament experience in chess,,5.0,0.0,24.0,19-40,19.0,40.0,24.0,0,14632,16308,3847547,
162,,university freshmen and sophomores,,55.0,107.0,20.1,0.86,26.0,136.0,,0,11253,12665,5861187,
57,,,,10.0,47.0,21.97,1.47,,,,0,11253,12665,5861187,
18,healthy,healthy,,8.0,10.0,27.27,,0.0,0.0,0.0,0,8628,11819,5741239,
50,MDD,patients,,25.0,25.0,30.0,18-45,18.0,45.0,28.0,0,5960,7611,5962703,
50,healthy,healthy,,25.0,25.0,32.0,18-45,18.0,45.0,30.0,0,5960,7611,5962703,
62,healthy,healthy,,17.0,45.0,68.5,8.0,68.5,68.5,68.5,0,6115,6692,4477185,
34,aMCI,patients,,18.0,16.0,68.4,7.9,68.4,68.4,68.4,0,6115,6692,4477185,
37,AD,patients,,10.0,27.0,72.8,8.2,72.8,72.8,72.8,0,6115,6692,4477185,
20,healthy,participants,healthy,17.0,3.0,23.0,19-25,19.0,25.0,23.0,0,7479,7998,5516603,
23,,,,,,24.48,,,,,0,5965,6740,8617189,
10,healthy,healthy,,3.0,7.0,39.8,18-50,18.0,50.0,,0,7096,7923,2935390,
12,dyscalculia,patients,,6.0,6.0,9.5,9-10,9.0,10.0,9.5,1,11444,15293,8330842,
15,healthy,healthy,,8.0,7.0,9.8,9-11,9.0,11.0,10.0,1,11444,15293,8330842,
19,T2DM,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,13228,15132,8245688,
15,healthy,controls,,0.0,0.0,0.0,,0.0,0.0,0.0,0,13228,15132,8245688,
18,RD,patients,,11.0,7.0,11.67,"9 years, 10 months to 13 years, 11 months",9.83,13.92,11.92,1,19777,23157,6868065,
34,ScD,patients,,11.0,23.0,,,,,,0,7597,8764,8167968,
40,healthy,controls,,21.0,19.0,,,,,,0,7597,8764,8167968,
27,,German Berlin,,,,,,,,,0,10502,12368,3983486,
24,,German Beijing,,,,,,,,,0,10502,12368,3983486,
28,,Chinese Berlin,,,,,,,,,0,10502,12368,3983486,
25,,Chinese Beijing,,,,,,,,,0,10502,12368,3983486,
22,,,,,14.0,24.0,19-28 years,19.0,28.0,24.0,0,9931,10400,5214699,
30,,,,11.0,,,,,,,0,10049,10795,5309221,
305,,,,138.0,,,,,,,0,10049,10795,5309221,
964,,,,479.0,,,,,,,0,10049,10795,5309221,
10,,,,5.0,,,,,,,0,10049,10795,5309221,
116,,,,53.0,,,,,,,0,10049,10795,5309221,
396,,,,183.0,,,,,,,0,10049,10795,5309221,
2,insomnia,patients,insomnia group,1.0,1.0,35.0,25-45,25.0,45.0,35.0,2,9889,11142,7721231,
1,control,healthy,control group,1.0,0.0,40.0,40-40,40.0,40.0,40.0,2,9889,11142,7721231,
22,healthy,healthy,,,,,,,,,0,17219,17616,4322727,
18,EM,patients,,10.0,8.0,35.0,20-50,20.0,50.0,30.0,0,5122,7661,5037100,
16,CM,patients,,8.0,8.0,40.0,25-55,25.0,55.0,45.0,0,5122,7661,5037100,
44,MOH+CM,patients,,20.0,24.0,38.0,30-50,30.0,50.0,35.0,0,5122,7661,5037100,
32,NCs,healthy,,16.0,16.0,45.0,40-50,40.0,50.0,45.0,0,5122,7661,5037100,
12,controls,healthy,,7.0,5.0,25.0,19-32,19.0,32.0,26.0,0,6198,9421,3791281,
12,binge drinkers,patients,,7.0,5.0,27.0,19-32,19.0,32.0,28.0,0,6198,9421,3791281,
20,healthy,patients,female,0.0,20.0,,,,,,3,8081,8666,8791738,
10,PD,patients,,,,,,,,,1,7637,8215,3530565,
50,healthy,patients,group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,7,23812,27081,7887639,
40,patients,patients,group B,20.0,20.0,45.0,30-60,30.0,60.0,40.0,7,23812,27081,7887639,
1271,,,,718.0,,,,,,,0,23105,25324,6055646,
30,healthy,healthy,,,20.0,25.6,20-35,20.0,35.0,,0,11412,11856,5396873,
382,,,,66.0,316.0,37.79,23-55,23.0,55.0,,1,6918,10782,8386467,
20,healthy,healthy,,11.0,9.0,26.5,21-35 years,21.0,35.0,,0,11450,12227,6865530,
23,healthy,healthy,,0.0,9.0,26.0,,0.0,0.0,0.0,0,5802,7847,7762811,
17,,,,,,,,,,,0,13351,13948,5006857,
17,,,,,,,,,,,0,13351,13948,5006857,
46,healthy,patients,behavioral study,23.0,23.0,23.65,18-30,18.0,30.0,23.0,0,13846,15500,3672681,
32,healthy,patients,fMRI study,16.0,16.0,23.0,19-30,19.0,30.0,23.0,0,13846,15500,3672681,
11,,participants,,11.0,,25.6,22-33 years,22.0,33.0,,0,10625,12125,3680713,
45,healthy,patients,adults,20.0,25.0,30.0,20-40,20.0,40.0,30.0,2,17270,20897,6545409,
48,,,,16.0,,24.6,18-38 years,18.0,38.0,,0,14870,16071,8412372,
7,low lesion load,patients,low lesion load,4.0,3.0,65.0,60-70,60.0,70.0,65.0,0,4210,5330,4131876,
7,high lesion load,patients,high lesion load,4.0,3.0,68.0,65-75,65.0,75.0,68.0,0,4210,5330,4131876,
90,healthy,patients,children,0.0,0.0,0.0,,0.0,0.0,0.0,0,18700,22306,8249894,
218,healthy,healthy,,117.0,0.0,24.17,0-0,0.0,0.0,0.0,0,5538,6428,4768083,
14,,inward,,,7.0,27.36,2233,,,,0,8711,11129,7018059,
14,,outward,,,8.0,26.5,2234,,,,0,8711,11129,7018059,
8,control,healthy,right-handed male,8.0,0.0,58.0,55-62,55.0,62.0,,0,17652,18951,4614319,
42,healthy,healthy,,,,,,,,,0,6972,9169,3607793,
130,healthy,healthy,,0.0,0.0,0.0,,0.0,0.0,0.0,0,11312,12951,8193510,
50,schizophrenia,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,11312,12951,8193510,
78,"Generalized Anxiety Disorder, Separation Anxiety Disorder, and/or Social Phobia",patients,unmedicated youth,,,,,,,,0,9124,11024,4912858,
20,no lifetime history of DSM-IV-TR disorders,healthy,youth,,,,,,,,0,9124,11024,4912858,
223,mood and/or anxiety disorder,patients,,,162.0,36.0,11,,,,0,14245,17478,7082218,
45,healthy control,healthy,,,23.0,32.0,11,,,,0,14245,17478,7082218,
4,healthy,participants,fMRI experiment,1.0,3.0,25.0,18-30,18.0,30.0,22.0,0,9935,12239,4932112,
14,healthy,volunteers,undergraduate and graduate students,,,,2030 years,,,,0,7556,8380,3897742,
150,healthy,patients,,,,,,,,,0,8424,10324,6969085,
16,healthy,patients,adult,0.0,16.0,22.8,,,,,0,10346,11691,2769551,
20,GAD,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,8615,10937,5065042,
21,PD,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,8615,10937,5065042,
21,SAD,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,8615,10937,5065042,
21,,healthy,,0.0,0.0,0.0,,0.0,0.0,0.0,0,8615,10937,5065042,
24,healthy,healthy,,11.0,13.0,25.2,5.6,0.0,0.0,0.0,0,11244,14983,7219687,
40,heavily exposed to alcohol prenatally,patients,,20.0,20.0,10.0,8-12,8.0,12.0,10.0,0,11177,12206,4506983,
25,controls,healthy,,15.0,10.0,10.0,8-12,8.0,12.0,10.0,0,11177,12206,4506983,
40,healthy,healthy,,24.0,16.0,21.93,,0.0,0.0,0.0,0,4540,5958,4513220,
36,unilateral SSNHL,patients,,,,,,,,,0,6531,8170,7527900,
30,healthy,control,HC,,,,,,,,0,6531,8170,7527900,
32,healthy,healthy,,17.0,15.0,25.27,2527 years old,25.0,27.0,26.0,0,4501,7045,4332461,
46,healthy,healthy,,6.0,40.0,21.6,1.4,21.6,21.6,21.6,0,8405,10089,8517178,
800,,,,,,,,,,,0,16850,19064,5064346,
31,healthy,healthy,,,,27.6,20-35 years,20.0,35.0,,0,5624,6081,3465779,
44,cocaine users,patients,,,7.0,46.5,,,,,1,8125,9792,8027452,
59,nonusers,healthy,,,15.0,43.7,,,,,1,8125,9792,8027452,
20,healthy,controls,"age-, gender- and IQ-matched",16.0,,,,,,,0,6860,9070,4908160,
15,AMPH users,AMPH,,15.0,,,,,,,0,6860,9070,4908160,
5,healthy,healthy,adults,3.0,2.0,30.0,25-35,25.0,35.0,30.0,0,9083,12229,8386837,
10,patients,patients,adults,6.0,4.0,45.0,40-50,40.0,50.0,45.0,0,9083,12229,8386837,
18,,,,,,,,,,,0,9730,10176,5155664,
10,healthy,healthy,,10.0,0.0,0.0,,0.0,0.0,0.0,0,26032,28729,4568337,
15,healthy,healthy,,15.0,0.0,24.7,2.8 years,,,,0,9324,9893,3182987,
28,healthy,college students,right-handed,14.0,14.0,24.5,1.8 years,24.0,26.0,24.5,0,7860,8560,3656906,
16,normal hearing,subjects,right-handed,15.0,11.0,27.0,21-40,21.0,40.0,,0,7142,7974,3705175,
22,LL,patients,,,,23.6,1.4,,,,0,8181,10215,4490246,
21,HH,patients,,,,23.04,0.8,,,,0,8181,10215,4490246,
1,TC,patients,EPT,0.0,1.0,,,,,,0,12319,13233,8534020,
12,cockroach phobia,patients,,4.0,8.0,40.08,,0.0,0.0,0.0,0,5977,7136,6220927,
12,no phobias,healthy,,4.0,8.0,24.08,,0.0,0.0,0.0,0,5977,7136,6220927,
20,,participants,,9.0,11.0,25.8,,,,,0,7792,8475,7265368,
13,PD patients with or without agoraphobia,patients,,7.0,6.0,35.4,35.3 - 35.4,35.3,35.4,,0,7426,9020,8639013,
14,healthy comparison subjects,healthy,,9.0,5.0,28.7,28.5 - 28.7,28.5,28.7,,0,7426,9020,8639013,
23,dyslexia,patients,,14.0,9.0,9.8,9.7 - 11.1,9.7,11.1,,0,11704,14902,7267899,
23,typical readers,healthy,,10.0,13.0,9.7,7.9 - 11.5,7.9,11.5,,0,11704,14902,7267899,
18,,,,,,,,,,,0,5165,6871,6333856,
19,YP,patients,,0.0,5.0,35.89,19 years,19.0,19.0,19.0,1,10794,12540,6289073,
12,RA,patients,,0.0,16.0,32.58,19 years,19.0,19.0,19.0,1,10794,12540,6289073,
13,,,,,,,,,,,0,40763,43682,2440815,
126,healthy,healthy,,0.0,0.0,0.0,,0.0,0.0,0.0,0,8021,8833,8786954,
40,bipolar-I disorder,patients,BD risk,0.0,0.0,0.0,,0.0,0.0,0.0,0,8021,8833,8786954,
41,major depressive disorder,patients,MDD risk,0.0,0.0,0.0,,0.0,0.0,0.0,0,8021,8833,8786954,
45,no personal or family history of psychopathology,patients,HC,0.0,0.0,0.0,,0.0,0.0,0.0,0,8021,8833,8786954,
65,idiopathic PD,patients,,,,,,,,,0,3039,4402,5655292,
24,,healthy,,,,,,,,,0,3039,4402,5655292,
26,,top-ranking players,,26.0,,25.35,,,,,0,8323,12178,6362490,
34,,lower-ranking but experienced players,,34.0,,24.59,,,,,0,8323,12178,6362490,
30,healthy,healthy,,14.0,16.0,24.97,18-33,18.0,33.0,,0,5747,9338,5895040,
25,,,,9.0,16.0,25.2,2036 years,20.0,36.0,25.0,0,12841,13337,3620530,
20,overweight and obese patients with type 2 diabetes,patients,,,,,,,,,0,6189,7575,4630252,
20,healthy lean individuals,healthy,,,,,,,,,0,6189,7575,4630252,
10,healthy,healthy,right-handed male,10.0,0.0,24.0,21-27,21.0,27.0,24.0,0,20857,21526,166149,
23,,participants,,11.0,12.0,21.2,18-29,18.0,29.0,,0,14774,15805,3856851,
23,neurologically healthy,healthy,,,,,,,,,0,29752,30706,7181727,
17,,,,,10.0,21.24,,,,,0,13526,13920,4717318,
50,healthy,patients,group A,25.0,25.0,30.0,20-40,20.0,40.0,30.0,1,26973,27639,3888398,
30,patients,patients,group B,15.0,15.0,45.0,40-50,40.0,50.0,45.0,1,26973,27639,3888398,
20,neurologically normal,participants,all,20.0,0.0,44.0,1944,19.0,44.0,44.0,0,4104,4787,3387247,
23,young people with a history of childhood abuse,patients,,15.0,8.0,17.5,,0.0,0.0,0.0,0,12106,15360,5104469,
20,psychiatric controls,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,0,12106,15360,5104469,
27,healthy controls,healthy,,0.0,0.0,0.0,,0.0,0.0,0.0,0,12106,15360,5104469,
26,SD,patients,"first-episode, drug-naive",,,,,,,,0,8873,10956,7518236,
30,,healthy,controls,,,,,,,,0,8873,10956,7518236,
161,healthy,healthy,adults,66.0,95.0,51.9,20-94,20.0,94.0,51.9,0,2017,2923,5256670,
17,PTSD,patients,,,14.0,,,,,,0,4463,6472,3668994,
18,TENP,patients,,,13.0,,,,,,0,4463,6472,3668994,
58,healthy,patients,right-handed,0.0,0.0,0.0,,0.0,0.0,0.0,0,9519,12562,5801296,
54,,healthy,,0.0,0.0,0.0,,0.0,0.0,0.0,0,9519,12562,5801296,
19,healthy,healthy,,10.0,9.0,29.5,5.6,29.5,29.5,29.5,0,7324,7703,3283587,
7,CCD,patients,,0.0,2.0,24.64,24-64 years,24.0,64.0,24.0,0,6070,9507,6411589,
30,healthy,controls,,0.0,17.0,23.6,unknown,0.0,0.0,0.0,0,6070,9507,6411589,
20,PTSD,patients,,0.0,0.0,32.92,18-40 years,18.0,40.0,,1,7952,10189,3862486,
20,healthy,controls,,0.0,0.0,31.53,20-38 years,20.0,38.0,,1,7952,10189,3862486,
14,AD,patients,,14.0,0.0,,,,,,0,5325,6713,7960059,
14,HC,healthy,,14.0,0.0,,,,,,0,5325,6713,7960059,
64,depressed,patients,mild to moderate depression,,,,,,,,2,15902,17940,5537409,
16,healthy,healthy,,,,,2029 years,,,,0,7660,8455,4044900,
13,ASDs,patients,high-functioning,10.0,,,12-24,12.0,24.0,,0,9727,11984,3815022,
