count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid,final
15,,healthy,,4.0,11.0,7.2,6.3 to 7.9 years,6.3,7.9,,,13758,15843,4270260,
20,acute ischemic stroke patients with hand motor impairment,patients,,17.0,3.0,50.95,30-71,30.0,71.0,,2.0,6215,8534,5515815,
16,,healthy,,12.0,4.0,54.25,35-68,35.0,68.0,,2.0,6215,8534,5515815,
54,regular CUs,patients,CUs,,,,,,,,1.0,7650,8658,8459240,
54,matched nonCUs,patients,NonCUs,,,,,,,,1.0,7650,8658,8459240,
22,,healthy,"right-handed, male volunteers",22.0,0.0,23.0,19-28,19.0,28.0,23.0,,14632,16308,3847547,
11,chess experts,chess experts,recruited from the UT Dallas Chess Program,11.0,0.0,23.0,19-28,19.0,28.0,23.0,,14632,16308,3847547,
6,healthy males who were chess novices,healthy males who were chess novices,,6.0,0.0,25.0,21-27,21.0,27.0,25.0,,14632,16308,3847547,
5,players with some tournament experience in chess,players with some tournament experience in chess,,5.0,0.0,24.0,19-40,19.0,40.0,24.0,,14632,16308,3847547,
162,,healthy,,55.0,107.0,20.1,0.86,26.0,136.0,,,11253,12665,5861187,
57,,healthy,,10.0,47.0,21.97,1.47,,,,,11253,12665,5861187,
18,,healthy,,8.0,10.0,27.27,,,,,,8628,11819,5741239,
50,MDD,patients,,25.0,25.0,30.0,18-45,18.0,45.0,28.0,,5960,7611,5962703,
50,,healthy,,25.0,25.0,32.0,18-45,18.0,45.0,30.0,,5960,7611,5962703,
62,,healthy,,17.0,45.0,68.5,8.0,68.5,68.5,68.5,,6115,6692,4477185,
34,aMCI,patients,,18.0,16.0,68.4,7.9,68.4,68.4,68.4,,6115,6692,4477185,
37,AD,patients,,10.0,27.0,72.8,8.2,72.8,72.8,72.8,,6115,6692,4477185,
20,healthy,participants,healthy,17.0,3.0,23.0,19-25,19.0,25.0,23.0,,7479,7998,5516603,
23,,healthy,,,,24.48,,,,,,5965,6740,8617189,
10,,healthy,,3.0,7.0,39.8,18-50,18.0,50.0,,,7096,7923,2935390,
12,dyscalculia,patients,,6.0,6.0,9.5,9-10,9.0,10.0,9.5,1.0,11444,15293,8330842,
15,,healthy,,8.0,7.0,9.8,9-11,9.0,11.0,10.0,1.0,11444,15293,8330842,
19,T2DM,patients,,,,,,,,,,13228,15132,8245688,
15,healthy,controls,,,,,,,,,,13228,15132,8245688,
18,RD,patients,,11.0,7.0,11.67,"9 years, 10 months to 13 years, 11 months",9.83,13.92,11.92,1.0,19777,23157,6868065,
34,ScD,patients,,11.0,23.0,,,,,,,7597,8764,8167968,
40,healthy,controls,,21.0,19.0,,,,,,,7597,8764,8167968,
27,,healthy,,,,,,,,,,10502,12368,3983486,
24,,healthy,,,,,,,,,,10502,12368,3983486,
28,,healthy,,,,,,,,,,10502,12368,3983486,
25,,healthy,,,,,,,,,,10502,12368,3983486,
22,,healthy,,8.0,14.0,24.0,19-28 years,19.0,28.0,24.0,,9931,10400,5214699,
30,,healthy,,11.0,19.0,,,,,,,10049,10795,5309221,
305,,healthy,,138.0,167.0,,,,,,,10049,10795,5309221,
964,,healthy,,479.0,485.0,,,,,,,10049,10795,5309221,
10,,healthy,,5.0,5.0,,,,,,,10049,10795,5309221,
116,,healthy,,53.0,63.0,,,,,,,10049,10795,5309221,
396,,healthy,,183.0,213.0,,,,,,,10049,10795,5309221,
2,insomnia,patients,insomnia group,1.0,1.0,35.0,25-45,25.0,45.0,35.0,2.0,9889,11142,7721231,
1,,healthy,control group,1.0,0.0,40.0,40-40,40.0,40.0,40.0,2.0,9889,11142,7721231,
22,,healthy,,,,,,,,,,17219,17616,4322727,
18,EM,patients,,10.0,8.0,35.0,20-50,20.0,50.0,30.0,,5122,7661,5037100,
16,CM,patients,,8.0,8.0,40.0,25-55,25.0,55.0,45.0,,5122,7661,5037100,
44,MOH+CM,patients,,20.0,24.0,38.0,30-50,30.0,50.0,35.0,,5122,7661,5037100,
32,,healthy,,16.0,16.0,45.0,40-50,40.0,50.0,45.0,,5122,7661,5037100,
12,,healthy,,7.0,5.0,25.0,19-32,19.0,32.0,26.0,,6198,9421,3791281,
12,binge drinkers,patients,,7.0,5.0,27.0,19-32,19.0,32.0,28.0,,6198,9421,3791281,
20,healthy,patients,female,0.0,20.0,,,,,,3.0,8081,8666,8791738,
10,PD,patients,,,,,,,,,1.0,7637,8215,3530565,
50,healthy,patients,group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,7.0,23812,27081,7887639,
40,patients,patients,group B,20.0,20.0,45.0,30-60,30.0,60.0,40.0,7.0,23812,27081,7887639,
1271,,healthy,,718.0,553.0,,,,,,,23105,25324,6055646,
30,,healthy,,10.0,20.0,25.6,20-35,20.0,35.0,,,11412,11856,5396873,
382,,healthy,,66.0,316.0,37.79,23-55,23.0,55.0,,1.0,6918,10782,8386467,
20,,healthy,,11.0,9.0,26.5,21-35 years,21.0,35.0,,,11450,12227,6865530,
23,,healthy,,14.0,9.0,26.0,,,,,,5802,7847,7762811,
17,,healthy,,,,,,,,,,13351,13948,5006857,
17,,healthy,,,,,,,,,,13351,13948,5006857,
46,healthy,patients,behavioral study,23.0,23.0,23.65,18-30,18.0,30.0,23.0,,13846,15500,3672681,
32,healthy,patients,fMRI study,16.0,16.0,23.0,19-30,19.0,30.0,23.0,,13846,15500,3672681,
11,,healthy,,11.0,0.0,25.6,22-33 years,22.0,33.0,,,10625,12125,3680713,
45,healthy,patients,adults,20.0,25.0,30.0,20-40,20.0,40.0,30.0,2.0,17270,20897,6545409,
48,,healthy,,16.0,32.0,24.6,18-38 years,18.0,38.0,,,14870,16071,8412372,
7,low lesion load,patients,low lesion load,4.0,3.0,65.0,60-70,60.0,70.0,65.0,,4210,5330,4131876,
7,high lesion load,patients,high lesion load,4.0,3.0,68.0,65-75,65.0,75.0,68.0,,4210,5330,4131876,
90,healthy,patients,children,,,,,,,,,18700,22306,8249894,
218,,healthy,,117.0,101.0,24.17,0-0,,,,,5538,6428,4768083,
14,,healthy,,7.0,7.0,27.36,2233,,,,,8711,11129,7018059,
14,,healthy,,6.0,8.0,26.5,2234,,,,,8711,11129,7018059,
8,,healthy,right-handed male,8.0,0.0,58.0,55-62,55.0,62.0,,,17652,18951,4614319,
42,,healthy,,,,,,,,,,6972,9169,3607793,
130,,healthy,,,,,,,,,,11312,12951,8193510,
50,schizophrenia,patients,,,,,,,,,,11312,12951,8193510,
78,"Generalized Anxiety Disorder, Separation Anxiety Disorder, and/or Social Phobia",patients,unmedicated youth,,,,,,,,,9124,11024,4912858,
20,,healthy,youth,,,,,,,,,9124,11024,4912858,
223,mood and/or anxiety disorder,patients,,61.0,162.0,36.0,11,,,,,14245,17478,7082218,
45,,healthy,,22.0,23.0,32.0,11,,,,,14245,17478,7082218,
4,healthy,participants,fMRI experiment,1.0,3.0,25.0,18-30,18.0,30.0,22.0,,9935,12239,4932112,
14,healthy,volunteers,undergraduate and graduate students,,,,2030 years,,,,,7556,8380,3897742,
150,healthy,patients,,,,,,,,,,8424,10324,6969085,
16,healthy,patients,adult,0.0,16.0,22.8,,,,,,10346,11691,2769551,
20,GAD,patients,,,,,,,,,,8615,10937,5065042,
21,PD,patients,,,,,,,,,,8615,10937,5065042,
21,SAD,patients,,,,,,,,,,8615,10937,5065042,
21,,healthy,,,,,,,,,,8615,10937,5065042,
24,,healthy,,11.0,13.0,25.2,5.6,,,,,11244,14983,7219687,
40,heavily exposed to alcohol prenatally,patients,,20.0,20.0,10.0,8-12,8.0,12.0,10.0,,11177,12206,4506983,
25,,healthy,,15.0,10.0,10.0,8-12,8.0,12.0,10.0,,11177,12206,4506983,
40,,healthy,,24.0,16.0,21.93,,,,,,4540,5958,4513220,
36,unilateral SSNHL,patients,,,,,,,,,,6531,8170,7527900,
30,healthy,control,HC,,,,,,,,,6531,8170,7527900,
32,,healthy,,17.0,15.0,25.27,2527 years old,25.0,27.0,26.0,,4501,7045,4332461,
46,,healthy,,6.0,40.0,21.6,1.4,21.6,21.6,21.6,,8405,10089,8517178,
800,,healthy,,,,,,,,,,16850,19064,5064346,
31,,healthy,,,,27.6,20-35 years,20.0,35.0,,,5624,6081,3465779,
44,cocaine users,patients,,37.0,7.0,46.5,,,,,1.0,8125,9792,8027452,
59,,healthy,,44.0,15.0,43.7,,,,,1.0,8125,9792,8027452,
20,healthy,controls,"age-, gender- and IQ-matched",16.0,4.0,,,,,,,6860,9070,4908160,
15,AMPH users,AMPH,,15.0,0.0,,,,,,,6860,9070,4908160,
5,,healthy,adults,3.0,2.0,30.0,25-35,25.0,35.0,30.0,,9083,12229,8386837,
10,patients,patients,adults,6.0,4.0,45.0,40-50,40.0,50.0,45.0,,9083,12229,8386837,
18,,healthy,,,,,,,,,,9730,10176,5155664,
10,,healthy,,10.0,0.0,,,,,,,26032,28729,4568337,
15,,healthy,,15.0,0.0,24.7,2.8 years,,,,,9324,9893,3182987,
28,healthy,college students,right-handed,14.0,14.0,24.5,1.8 years,24.0,26.0,24.5,,7860,8560,3656906,
16,normal hearing,subjects,right-handed,15.0,11.0,27.0,21-40,21.0,40.0,,,7142,7974,3705175,
22,LL,patients,,,,23.6,1.4,,,,,8181,10215,4490246,
21,HH,patients,,,,23.04,0.8,,,,,8181,10215,4490246,
1,TC,patients,EPT,0.0,1.0,,,,,,,12319,13233,8534020,
12,cockroach phobia,patients,,4.0,8.0,40.08,,,,,,5977,7136,6220927,
12,,healthy,,4.0,8.0,24.08,,,,,,5977,7136,6220927,
20,,healthy,,9.0,11.0,25.8,,,,,,7792,8475,7265368,
13,PD patients with or without agoraphobia,patients,,7.0,6.0,35.4,35.3 - 35.4,35.3,35.4,,,7426,9020,8639013,
14,,healthy,,9.0,5.0,28.7,28.5 - 28.7,28.5,28.7,,,7426,9020,8639013,
23,dyslexia,patients,,14.0,9.0,9.8,9.7 - 11.1,9.7,11.1,,,11704,14902,7267899,
23,,healthy,,10.0,13.0,9.7,7.9 - 11.5,7.9,11.5,,,11704,14902,7267899,
18,,healthy,,,,,,,,,,5165,6871,6333856,
19,YP,patients,,14.0,5.0,35.89,19 years,19.0,19.0,19.0,1.0,10794,12540,6289073,
12,RA,patients,,-4.0,16.0,32.58,19 years,19.0,19.0,19.0,1.0,10794,12540,6289073,
13,,healthy,,,,,,,,,,40763,43682,2440815,
126,,healthy,,,,,,,,,,8021,8833,8786954,
40,bipolar-I disorder,patients,BD risk,,,,,,,,,8021,8833,8786954,
41,major depressive disorder,patients,MDD risk,,,,,,,,,8021,8833,8786954,
45,no personal or family history of psychopathology,patients,HC,,,,,,,,,8021,8833,8786954,
65,idiopathic PD,patients,,,,,,,,,,3039,4402,5655292,
24,,healthy,,,,,,,,,,3039,4402,5655292,
26,,healthy,,26.0,0.0,25.35,,,,,,8323,12178,6362490,
34,,healthy,,34.0,0.0,24.59,,,,,,8323,12178,6362490,
30,,healthy,,14.0,16.0,24.97,18-33,18.0,33.0,,,5747,9338,5895040,
25,,healthy,,9.0,16.0,25.2,2036 years,20.0,36.0,25.0,,12841,13337,3620530,
20,overweight and obese patients with type 2 diabetes,patients,,,,,,,,,,6189,7575,4630252,
20,,healthy,,,,,,,,,,6189,7575,4630252,
10,,healthy,right-handed male,10.0,0.0,24.0,21-27,21.0,27.0,24.0,,20857,21526,166149,
23,,healthy,,11.0,12.0,21.2,18-29,18.0,29.0,,,14774,15805,3856851,
23,,healthy,,,,,,,,,,29752,30706,7181727,
17,,healthy,,7.0,10.0,21.24,,,,,,13526,13920,4717318,
50,healthy,patients,group A,25.0,25.0,30.0,20-40,20.0,40.0,30.0,1.0,26973,27639,3888398,
30,patients,patients,group B,15.0,15.0,45.0,40-50,40.0,50.0,45.0,1.0,26973,27639,3888398,
20,neurologically normal,participants,all,20.0,0.0,44.0,1944,19.0,44.0,44.0,,4104,4787,3387247,
23,young people with a history of childhood abuse,patients,,15.0,8.0,17.5,,,,,,12106,15360,5104469,
20,psychiatric controls,patients,,,,,,,,,,12106,15360,5104469,
27,,healthy,,,,,,,,,,12106,15360,5104469,
26,SD,patients,"first-episode, drug-naive",,,,,,,,,8873,10956,7518236,
30,,healthy,controls,,,,,,,,,8873,10956,7518236,
161,,healthy,adults,66.0,95.0,51.9,20-94,20.0,94.0,51.9,,2017,2923,5256670,
17,PTSD,patients,,3.0,14.0,,,,,,,4463,6472,3668994,
18,TENP,patients,,5.0,13.0,,,,,,,4463,6472,3668994,
58,healthy,patients,right-handed,,,,,,,,,9519,12562,5801296,
54,,healthy,,,,,,,,,,9519,12562,5801296,
19,,healthy,,10.0,9.0,29.5,5.6,29.5,29.5,29.5,,7324,7703,3283587,
7,CCD,patients,,5.0,2.0,24.64,24-64 years,24.0,64.0,24.0,,6070,9507,6411589,
30,healthy,controls,,13.0,17.0,23.6,unknown,,,,,6070,9507,6411589,
20,PTSD,patients,,,,32.92,18-40 years,18.0,40.0,,1.0,7952,10189,3862486,
20,healthy,controls,,,,31.53,20-38 years,20.0,38.0,,1.0,7952,10189,3862486,
14,AD,patients,,14.0,0.0,,,,,,,5325,6713,7960059,
14,,healthy,,14.0,0.0,,,,,,,5325,6713,7960059,
64,depressed,patients,mild to moderate depression,,,,,,,,2.0,15902,17940,5537409,
16,,healthy,,,,,2029 years,,,,,7660,8455,4044900,
13,ASDs,patients,high-functioning,10.0,3.0,,12-24,12.0,24.0,,,9727,11984,3815022,
14,,healthy,,11.0,3.0,,11-23,11.0,23.0,,,9727,11984,3815022,
59,Younger adults,patients,female,30.0,29.0,,,,,,,8734,10232,8561439,
47,older adults,patients,female,14.0,33.0,,,,,,,8734,10232,8561439,
45,Younger adults,patients,female,22.0,23.0,,,,,,,8734,10232,8561439,
35,older adults,patients,female,12.0,23.0,,,,,,,8734,10232,8561439,
1,,healthy,C.L.,,,28.0,28,28.0,28.0,28.0,,8627,9437,4350403,
13,,healthy,male,13.0,0.0,24.0,21-26,21.0,26.0,24.0,,8627,9437,4350403,
22,healthy,undergraduate students,,3.0,19.0,20.7,18-24,18.0,24.0,,,10473,10903,3406317,
64,chronic mTBI,patients,,25.0,39.0,45.3,14.6 years,46.0,14.6,,1.0,8094,10308,8751629,
40,,healthy,,21.0,19.0,40.2,9.4 years,41.0,9.4,,1.0,8094,10308,8751629,
33,NPC,patients,,21.0,12.0,38.91,18-60,18.0,60.0,38.91,,8397,10256,6660255,
15,healthy,controls,,10.0,5.0,40.33,26-55,26.0,55.0,40.33,,8397,10256,6660255,
43,bipolar disorder type 1 (BD1),patients,,25.0,18.0,40.0,18-65,18.0,65.0,38.0,1.0,6745,10117,4519303,
36,bipolar disorder type 2 (BD2),patients,,20.0,16.0,42.0,18-65,18.0,65.0,41.0,1.0,6745,10117,4519303,
6,bipolar disorder not otherwise specified (BDNOS),patients,,3.0,3.0,38.0,18-65,18.0,65.0,37.0,1.0,6745,10117,4519303,
121,,healthy,,60.0,61.0,39.0,18-65,18.0,65.0,38.0,1.0,6745,10117,4519303,
21,BPD,patients,female,0.0,21.0,30.5,18 to 43,18.0,43.0,32.0,,12448,16247,5067102,
23,,healthy,,0.0,23.0,32.5,20 to 46,20.0,46.0,34.0,,12448,16247,5067102,
23,healthy,college freshmen,,7.0,16.0,19.0,18-20,18.0,20.0,,,10425,12473,5614979,
25,,healthy,right-handed and trained,25.0,0.0,,,,,,,8068,10625,6971822,
46,,healthy,,,,24.22,1955 years,,,,,12414,12875,4543892,
