group_name,subgroup_name,project_name,annotator_name,pmcid,diagnosis,count,male count,age mean,female count,age minimum,age maximum,age median
patients,_,participant_demographics,Jerome_Dockes,3842522,autism,42,,,,8.0,36.0,
healthy,_,participant_demographics,Jerome_Dockes,3842522,,48,,,,8.0,36.0,
healthy,experiment 2,participant_demographics,Jerome_Dockes,3869681,,18,9.0,26.6,9.0,21.0,38.0,
healthy,experiment 1,participant_demographics,Jerome_Dockes,3869681,,18,10.0,26.3,8.0,21.0,41.0,
healthy,_,participant_demographics,Jerome_Dockes,3889700,,15,,25.6,,22.0,30.0,
healthy,happy,participant_demographics,Jerome_Dockes,3893192,,26,,,,,,
healthy,unhappy,participant_demographics,Jerome_Dockes,3893192,,25,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,3894920,,6,5.0,,1.0,22.0,35.0,
healthy,_,participant_demographics,Jerome_Dockes,3913832,,31,,,31.0,,,
patients,_,participant_demographics,Jerome_Dockes,3913832,anorexia nervosa,31,,,31.0,,,
healthy,_,participant_demographics,Jerome_Dockes,4029608,,27,14.0,,13.0,,,
patients,_,participant_demographics,Jerome_Dockes,4029608,Social anxiety disorder,27,15.0,,12.0,,,
healthy,dcg,participant_demographics,Jerome_Dockes,4034409,,13,5.0,23.1,8.0,,,
healthy,tcg,participant_demographics,Jerome_Dockes,4034409,,13,4.0,23.5,9.0,,,
patients,_,participant_demographics,Jerome_Dockes,4048172,Chronic Back Pain,13,4.0,51.8,9.0,43.0,65.0,
healthy,_,participant_demographics,Jerome_Dockes,4048172,,13,4.0,48.7,9.0,38.0,62.0,
healthy,_,participant_demographics,Jerome_Dockes,4072722,,16,10.0,30.1,6.0,18.0,40.0,
healthy,_,participant_demographics,Jerome_Dockes,4215530,,22,,,,,,
patients,_,participant_demographics,Jerome_Dockes,4215530,"Very preterm birth
",24,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,4255751,,18,18.0,23.9,,18.0,33.0,
healthy,fmri,participant_demographics,Jerome_Dockes,4280551,,15,,,,,,
healthy,pet,participant_demographics,Jerome_Dockes,4280551,,10,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,4332461,,32,17.0,,15.0,25.0,27.0,
healthy,Experiment 1,participant_demographics,Jerome_Dockes,4349631,,22,17.0,,5.0,19.0,41.0,
healthy,Experiment 2,participant_demographics,Jerome_Dockes,4349631,,16,11.0,,5.0,20.0,59.0,
healthy,_,participant_demographics,Jerome_Dockes,4370584,,40,20.0,20.0,20.0,18.0,23.0,
healthy,_,participant_demographics,Jerome_Dockes,4380440,,33,33.0,,,,,
healthy,_,participant_demographics,Jerome_Dockes,4416052,,33,19.0,29.4,14.0,,,
patients,_,participant_demographics,Jerome_Dockes,4416052,social anxiety disorder,53,36.0,29.9,17.0,,,
healthy,_,participant_demographics,Jerome_Dockes,4436102,,23,11.0,24.2,12.0,18.0,31.0,
healthy,experiment 2,participant_demographics,Jerome_Dockes,4458841,,14,,,,,,
healthy,experiment 1,participant_demographics,Jerome_Dockes,4458841,,15,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,4477935,,20,12.0,24.0,8.0,,,
healthy,_,participant_demographics,Jerome_Dockes,4493392,,18,10.0,25.0,8.0,22.0,29.0,
patients,lh,participant_demographics,Jerome_Dockes,4522562,thermo-coagulation lesions in the left hippocampus,3,,,,,,
patients,rpc,participant_demographics,Jerome_Dockes,4522562, thermo-coagulation lesions in the right parahippocampal cortex,5,,,,,,
patients,epilepsy,participant_demographics,Jerome_Dockes,4522562,epilepsy,10,,,,,,
patients,chronic lumbar back-pain,participant_demographics,Jerome_Dockes,4522562,chronic lumbar back-pain,8,,,,,,
patients,lph,participant_demographics,Jerome_Dockes,4522562,thermo-coagulation lesions in the left parahippocampal cortex,1,,,,,,
patients,rh,participant_demographics,Jerome_Dockes,4522562,thermo-coagulation lesions in the right hippocampus,5,,,,,,
patients,refractory epilepsy,participant_demographics,Jerome_Dockes,4522562,refractory epilepsy,14,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,4530666,,24,,,24.0,,,
patients,_,participant_demographics,Jerome_Dockes,4530666,anorexia nervosa,23,,,23.0,,,
healthy,_,participant_demographics,Jerome_Dockes,4717328,,20,16.0,,4.0,20.0,36.0,
healthy,_,participant_demographics,Jerome_Dockes,4732188,,21,14.0,50.6,7.0,,,
patients,_,participant_demographics,Jerome_Dockes,4732188,Essential tremor,21,12.0,51.6,9.0,,,
patients,_,participant_demographics,Jerome_Dockes,4869560,major depressive disorder,29,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,4869560,,29,15.0,26.76,14.0,,,
healthy,_,participant_demographics,Jerome_Dockes,4936600,,21,,,,,,
patients,dcd+adhd,participant_demographics,Jerome_Dockes,4936600,Developmental coordination disorder and attention-deficit hyperactivity disorder,14,,,,,,
patients,adhd,participant_demographics,Jerome_Dockes,4936600,attention-deficit hyperactivity disorder,19,,,,,,
patients,dcd,participant_demographics,Jerome_Dockes,4936600,Developmental coordination disorder,6,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,4975394,,18,,21.04,18.0,,,
patients,_,participant_demographics,Jerome_Dockes,4983635,major depressive disorder,45,16.0,37.0,29.0,19.0,58.0,
healthy,_,participant_demographics,Jerome_Dockes,4983635,,19,8.0,33.0,11.0,20.0,52.0,
patients,_,participant_demographics,Jerome_Dockes,4990879,heroin addiction,40,40.0,,,,,
patients,psychiatric controls,participant_demographics,Jerome_Dockes,5104469,,19,9.0,16.9,10.0,,,
healthy,_,participant_demographics,Jerome_Dockes,5104469,,27,21.0,17.5,6.0,,,
patients,severe childhood abuse,participant_demographics,Jerome_Dockes,5104469,Severe Childhood Abuse,21,15.0,17.5,6.0,,,
healthy,_,participant_demographics,Jerome_Dockes,5266856,,37,,,,,,
patients,_,participant_demographics,Jerome_Dockes,5266856,Poststroke Aphasia,39,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,5270359,,15,15.0,26.0,,,,
patients,_,participant_demographics,Jerome_Dockes,5339238,former iron deficiency anemia,14,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,5339238,,17,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,5371603,,15,6.0,25.0,9.0,20.0,37.0,
patients,_,participant_demographics,Jerome_Dockes,5371603,deafness,14,3.0,25.0,11.0,18.0,33.0,
healthy,_,participant_demographics,Jerome_Dockes,5428836,,32,13.0,23.97,19.0,,,
healthy,_,participant_demographics,Jerome_Dockes,5447679,,33,,,,,,
patients,_,participant_demographics,Jerome_Dockes,5552726,Asymptomatic Carotid Stenosis,16,,,,,,
patients,PD-A,participant_demographics,Jerome_Dockes,5655292,Parkinson's disease with anxiety disorder,18,,,,,,
patients,PD-NA,participant_demographics,Jerome_Dockes,5655292,Parkinson's disease without anxiety disorder,45,,,,,,
patients,_,participant_demographics,Jerome_Dockes,5686883,idiopathic musculoskeletal pain,10,1.0,16.3,9.0,,,
healthy,_,participant_demographics,Jerome_Dockes,5686883,,10,1.0,16.1,9.0,,,
healthy,_,participant_demographics,Jerome_Dockes,5719057,,8,5.0,,3.0,19.0,27.0,
healthy,baseline,participant_demographics,Jerome_Dockes,5758587,,11,,,,,,
patients,follow-up,participant_demographics,Jerome_Dockes,5758587,Developmental dyscalculia,13,,,,,,
patients,baseline,participant_demographics,Jerome_Dockes,5758587,Developmental dyscalculia,14,,,,,,
healthy,follow-up,participant_demographics,Jerome_Dockes,5758587,,8,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,5832413,,16,6.0,23.1,10.0,19.0,29.0,
patients,_,participant_demographics,Jerome_Dockes,5857897,Tourette syndrome,5,3.0,27.0,2.0,,,
healthy,_,participant_demographics,Jerome_Dockes,5881103,,30,10.0,,20.0,18.0,25.0,
healthy,_,participant_demographics,Jerome_Dockes,5890144,,31,,,,25.0,27.0,
healthy,_,participant_demographics,Jerome_Dockes,6004505,,22,22.0,,,,,
patients,_,participant_demographics,Jerome_Dockes,6004505,Multi-Problem Young Adults,100,100.0,,,,,
healthy,_,participant_demographics,Jerome_Dockes,6195265,,15,8.0,22.21,7.0,,,
healthy,_,participant_demographics,Jerome_Dockes,6198067,,11,7.0,28.0,4.0,,,
healthy,_,participant_demographics,Jerome_Dockes,6200185,,25,,,,,,
patients,_,participant_demographics,Jerome_Dockes,6200185,relapsing-remitting multiple sclerosis,44,,,,,,
healthy,fMRI,participant_demographics,Jerome_Dockes,6215330,,22,11.0,23.3,11.0,,,
healthy,EEG,participant_demographics,Jerome_Dockes,6215330,,21,9.0,26.76,12.0,,,
healthy,_,participant_demographics,Jerome_Dockes,6220927,,12,4.0,,8.0,,,
patients,_,participant_demographics,Jerome_Dockes,6220927,cockroach phobia,12,4.0,,8.0,,,
patients,_,participant_demographics,Jerome_Dockes,6350268,"vascular mild cognitive impairment
",31,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,6350268,,32,,,,,,
patients,_,participant_demographics,Jerome_Dockes,6389716,Parkinson’s disease,42,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,6389716,,40,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,6434022,,55,55.0,24.255,,18.0,35.0,
healthy,_,participant_demographics,Jerome_Dockes,6646524,,27,,,,,,
patients,_,participant_demographics,Jerome_Dockes,6675526,Idiopathic Parkinson’s disease,50,29.0,57.7,21.0,,,
healthy,_,participant_demographics,Jerome_Dockes,6675526,,20,11.0,54.6,9.0,,,
healthy,_,participant_demographics,Jerome_Dockes,6688454,,17,,20.7,17.0,18.0,23.0,
patients,_,participant_demographics,Jerome_Dockes,6699415,supratentorial gliomas,5,2.0,33.7,3.0,,,
healthy,_,participant_demographics,Jerome_Dockes,6726765,,18,9.0,30.3,9.0,,,
healthy,_,participant_demographics,Jerome_Dockes,6908964,,26,,,,,,
healthy,old,participant_demographics,Jerome_Dockes,7004957,,23,,,,,,
healthy,young,participant_demographics,Jerome_Dockes,7004957,,28,19.0,24.39,9.0,18.0,34.0,
healthy,_,participant_demographics,Jerome_Dockes,7038454,,104,,17.11,,12.27,21.96,
healthy,_,participant_demographics,Jerome_Dockes,7057279,,55,17.0,13.0,38.0,,,
healthy,_,participant_demographics,Jerome_Dockes,7082218,,45,22.0,32.0,23.0,,,
patients,_,participant_demographics,Jerome_Dockes,7082218,mood and/or anxiety disorder,223,61.0,36.0,162.0,,,
healthy,_,participant_demographics,Jerome_Dockes,7090024,,32,,,,,,
patients,_,participant_demographics,Jerome_Dockes,7090024,subjective cognitive decline,35,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,7099000,,57,31.0,10.19,26.0,,,
patients,_,participant_demographics,Jerome_Dockes,7275020,acute mild traumatic brain injury,53,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,7275020,,37,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,7339141,,20,9.0,23.0,11.0,18.0,27.0,
healthy,_,participant_demographics,Jerome_Dockes,7406917,,7,7.0,23.5,,21.0,28.0,
healthy,_,participant_demographics,Jerome_Dockes,7456884,,19,12.0,27.9,7.0,,,
healthy,_,participant_demographics,Jerome_Dockes,7493988,,10,5.0,67.7,5.0,,,
patients,_,participant_demographics,Jerome_Dockes,7493988,essential tremor ,10,6.0,69.4,4.0,,,
healthy,_,participant_demographics,Jerome_Dockes,7539836,,43,,,,,,
patients,_,participant_demographics,Jerome_Dockes,7539836,acute mild traumatic brain injury,50,,,,,,
healthy,hcd,participant_demographics,Jerome_Dockes,7758977,,7,2.0,31.0,5.0,,,
healthy,fasting,participant_demographics,Jerome_Dockes,7758977,,6,1.0,29.0,5.0,,,
patients,_,participant_demographics,Jerome_Dockes,7836234,mesial temporal lobe epilepsy,19,11.0,45.3,8.0,,,
healthy,_,participant_demographics,Jerome_Dockes,7836234,,19,10.0,45.8,9.0,,,
patients,_,participant_demographics,Jerome_Dockes,7851842,schizophrenia,17,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,7851842,,18,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,7913329,,63,36.0,37.0,27.0,22.0,55.0,
healthy,_,participant_demographics,Jerome_Dockes,7981326,,15,5.0,31.6,10.0,22.0,54.0,
healthy,_,participant_demographics,Jerome_Dockes,7994216,,24,12.0,25.3,12.0,21.0,34.0,
patients,_,participant_demographics,Jerome_Dockes,8459240,cocaine use disorder ,55,27.0,,28.0,,,
healthy,_,participant_demographics,Jerome_Dockes,8459240,,54,26.0,,28.0,,,
patients,_,participant_demographics,Jerome_Dockes,8569140,hemifacial spasm,30,12.0,48.87,18.0,,,
healthy,_,participant_demographics,Jerome_Dockes,8569140,,30,12.0,47.63,18.0,,,
healthy,_,participant_demographics,Jerome_Dockes,8615904,,595,218.0,39.47,377.0,8.0,83.0,
healthy,_,participant_demographics,Jerome_Dockes,8699602,,24,10.0,34.5,14.0,,,
healthy,_,participant_demographics,Jerome_Dockes,8764488,,20,14.0,24.0,6.0,20.0,34.0,
healthy,_,participant_demographics,Jerome_Dockes,8893203,,10,7.0,26.6,3.0,,,
