count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid
38.0,healthy,adults,childless,19.0,19.0,24.08,3.33,19.0,29.0,24.0,,8721,10120,7395771
36.0,,healthy,,,,,,,,,,11922,13361,7779563
74.0,,healthy,adolescents,,,,,,,,,7716,9834,8379626
67.0,,healthy,,31.0,36.0,15.6,,,,,,7716,9834,8379626
146.0,,healthy,,72.0,62.0,5.34,5.08-5.22,5.08,5.22,,,9500,12550,9108497
26.0,typically developing,children and adolescents,Caucasian,17.0,9.0,11.42,8-16,8.0,16.0,,,7835,9334,7005761
13.0,,healthy,,,,28.4,19-45,19.0,45.0,,,7494,8254,7430162
20.0,,healthy,,1.0,19.0,21.4,18-31 years,18.0,31.0,,,16503,17874,6136263
18.0,,healthy,,13.0,9.0,26.7,18-60,18.0,60.0,22.5,,7644,8859,2775905
45.0,smokers,patients,,,,,,,,,,3425,5707,3511796
44.0,,healthy,,,,,,,,,,3425,5707,3511796
31.0,drug-nave/free first episode psychosis (FEP),patients,,26.0,5.0,26.64,,,,,,5892,6567,8550949
35.0,,healthy,,26.0,9.0,27.12,,,,,,5892,6567,8550949
25.0,postpartum,patients,females,0.0,25.0,,,,,,,23741,25117,7272423
32.0,,healthy,females,0.0,32.0,,,,,,,23741,25117,7272423
54.0,,healthy,female,0.0,54.0,19.62,,,,,,7835,9127,5548834
272.0,,healthy,,123.0,149.0,24.5,18-68 years,18.0,68.0,,,8650,9157,4115625
19.0,,healthy,,10.0,9.0,22.8,19-31 years,19.0,31.0,,,5579,6473,3869649
18.0,,healthy,,8.0,10.0,22.5,,,,,,14874,15604,6344389
10.0,healthy,subjects,,7.0,3.0,27.72,5.99 years,,,,,7975,8487,4029023
20.0,,healthy,,9.0,11.0,26.0,21-31,21.0,31.0,26.0,,7291,8667,8837589
260.0,,healthy,,115.0,145.0,14.61,14-15,14.0,15.0,,,7509,9650,3991323
28.0,,healthy,,17.0,11.0,25.24,20-39,20.0,39.0,,,7509,9650,3991323
25.0,,healthy,,,,,,,,,,28089,30834,3483694
22.0,,healthy,male,22.0,0.0,25.77,20-40,20.0,40.0,25.77,,7315,8159,5776089
43.0,MDD,patients,,13.0,30.0,,,,,,,8471,10050,7118554
56.0,,healthy,controls,30.0,26.0,,,,,,,8471,10050,7118554
29.0,healthy,participants,,16.0,13.0,23.6,21-33,21.0,33.0,,,44675,45771,7989009
233.0,,healthy,,,,16.1,9.9 - 26.6,9.9,26.6,,,6438,8339,5390693
12.0,,healthy,volunteers,7.0,5.0,38.0,23-60,23.0,60.0,,,7661,9066,4075342
18.0,lung cancer patients,patients,,,,,,,,,,8631,10461,7275001
21.0,,healthy,,,,,,,,,,8631,10461,7275001
26.0,ASD,patients,youth,,,,,,,,1.0,9309,10707,7194032
28.0,,healthy,youth,,,,,,,,1.0,9309,10707,7194032
20.0,unipolar major depression,patients,primary study,,,,,,,,,15035,15652,5416685
19.0,unipolar major depression,patients,validation study,,,,,,,,,15035,15652,5416685
19.0,,healthy,primary sample,,,,,,,,,15035,15652,5416685
20.0,,healthy,validation sample,,,,,,,,,15035,15652,5416685
19.0,obese,patients,women,0.0,19.0,,,,,,,8516,10261,5537800
29.0,healthy,young adults,self-reported,10.0,19.0,23.8,1930 years,19.0,30.0,,,8764,10050,8318202
32.0,healthy,older adults,self-reported,15.0,17.0,71.0,6581 years,65.0,81.0,,,8764,10050,8318202
21.0,healthy,participants,right-handed,8.0,13.0,24.9,19-30,19.0,30.0,,,9582,10592,5218407
21.0,BDD,patients,,,,,,,,,,7306,10392,6246657
40.0,MDD,patients,,,,,,,,,,7306,10392,6246657
70.0,,healthy,,,,,,,,,,7306,10392,6246657
216.0,,healthy,,,,,,,,,,5902,6887,8828908
15.0,Autism Spectrum Disorder,patients,,12.0,3.0,38.0,,,,,,10521,12299,2648877
18.0,,healthy,,13.0,5.0,32.0,,,,,,10521,12299,2648877
70.0,,healthy,adults,41.0,29.0,,2150 years,,,,,30977,33120,7260173
54.0,,healthy,adults,28.0,26.0,33.5,2150 years,,,,,30977,33120,7260173
16.0,,healthy,adults,7.0,9.0,34.5,2150 years,,,,,30977,33120,7260173
42.0,bronchial asthma,patients,,7.0,10.0,50.76,,,,,,5950,6820,5394595
60.0,,healthy,,,,,,,,,,5950,6820,5394595
19.0,,healthy,,,,22.62,18-27,18.0,27.0,,,12986,16917,3660406
15.0,,healthy,,,,61.15,51-71,51.0,71.0,,,12986,16917,3660406
40.0,,healthy,,8.0,32.0,44.0,25-63,25.0,63.0,38.0,,6637,7668,8172304
32.0,chronic urticaria,patients,,6.0,26.0,45.0,25-65,25.0,65.0,42.0,,6637,7668,8172304
20.0,Christians,patients,Christians,22.0,19.0,,,,,,,25958,29873,2748718
21.0,Nonbelievers,patients,Nonbelievers,22.0,19.0,,,,,,,25958,29873,2748718
44.0,chronic osteoarthritis,patients,acupuncture nave,25.0,19.0,,43-70,43.0,70.0,,1.0,19248,20025,4175730
147.0,MDD,patients,depression,50.0,97.0,45.0,18-45,18.0,45.0,35.0,,7260,9372,5598991
130.0,,healthy,control,49.0,81.0,40.0,,,,,,7260,9372,5598991
33.0,ASD,children and adolescents,,,,,,,,,,9508,11703,5870086
24.0,,healthy,right-handed,12.0,12.0,,,,,,,7514,9845,3362560
21.0,PTSD,patients,,,,,,,,,,14405,15358,6024199
21.0,trauma-exposed control,patients,,,,,,,,,,14405,15358,6024199
21.0,problematic tinnitus,patients,,10.0,11.0,,,,,,,7425,9782,6667657
12.0,,healthy,imaged participants,,,,,,,,,7425,9782,6667657
10.0,,healthy,post-MBCT session,,,,,,,,,7425,9782,6667657
8.0,,healthy,follow-up scan,,,,,,,,,7425,9782,6667657
70.0,BD,patients,partial or full remission,,,37.0,18-65,18.0,65.0,,,7076,8109,6908505
17.0,PD,patients,,2.0,15.0,,,,,,,30626,32637,6382839
17.0,,healthy,,4.0,13.0,,,,,,,30626,32637,6382839
18.0,smokers,participants,Chinese,18.0,0.0,25.11,21-33,21.0,33.0,25.11,1.0,8569,9966,3409150
13.0,"unilateral, upper limb amputation with phantom limb pain",patients,,11.0,2.0,52.92,3275 years,32.0,75.0,,,8118,9527,2494616
6.0,,healthy,,,,43.0,3056,30.0,56.0,,,8118,9527,2494616
133.0,ischemic stroke,patients,,,,,,,,,,7175,10809,5665859
15.0,,healthy,blank control,,,,,,,,,7175,10809,5665859
18.0,naive,subjects,naive,,,,,,,,,24448,24931,2995581
20.0,fibromyalgia,FM,,,,46.4,22-70,22.0,70.0,,,5393,6615,6820536
20.0,,healthy,,,,42.1,21-70,21.0,70.0,,,5393,6615,6820536
34.0,schizophrenia,patients,unmedicated,,,,,,,,,6605,8461,5292583
35.0,,healthy,controls,,,,,,,,,6605,8461,5292583
61.0,,healthy,,,,,,,,,,6967,8342,5460049
58.0,,healthy,,,,,,,,,,6967,8342,5460049
28.0,schizophrenia,patients,,,,,2154 years,,,,,7464,8764,8883821
20.0,autism spectrum disorder,patients,,,,,1943 years,,,,,7464,8764,8883821
30.0,,healthy,,,,,1954 years,,,,,7464,8764,8883821
12.0,,healthy,,5.0,7.0,25.8,3.7 years,,,,1.0,8416,8816,7649291
11.0,proficient,patients,proficient,3.0,8.0,28.73,19-46,19.0,46.0,,,39775,41437,3554651
10.0,less-proficient,patients,less-proficient,3.0,7.0,30.0,19-45,19.0,45.0,,,39775,41437,3554651
164.0,,healthy,female,,,,,,,,,7405,10633,4174863
46.0,,healthy,female,,,,,,,,,7405,10633,4174863
19.0,aMCI probably caused by Alzheimer's disease or mAD,patients,,4.0,7.0,,between 65 and 81 years,,,,1.0,6036,9501,7838677
6.0,mAD,patients,,4.0,2.0,,,,,,1.0,6036,9501,7838677
35.0,,healthy,adults,14.0,14.0,,between 55 and 81 years,,,,1.0,6036,9501,7838677
64.0,pED,patients,right-handed male heterosexual,64.0,0.0,26.85,26.85-26.85,26.85,26.85,26.85,2.0,7554,10763,6290711
41.0,,healthy,right-handed male heterosexual,41.0,0.0,28.53,28.53-28.53,28.53,28.53,28.53,2.0,7554,10763,6290711
103.0,,healthy,,52.0,51.0,32.5,SD = 12.4,,,,,8117,11961,3334814
32.0,chronic left-hemisphere stroke,patients,,27.0,5.0,62.1,11-56,11.0,56.0,27.0,,8398,9988,4473263
18.0,,healthy,,8.0,10.0,63.9,,,,,,8398,9988,4473263
24.0,IA,patients,,14.0,10.0,20.58,2.39 years,,,,,8544,9896,8939409
23.0,,healthy,,10.0,13.0,21.13,2.51 years,,,,,8544,9896,8939409
8.0,right-sided cerebral palsy,patients,,3.0,5.0,15.0,10-30,10.0,30.0,13.0,1.0,7912,9122,6878729
17.0,DLB,patients,,13.0,4.0,71.88,60-82,60.0,82.0,,1.0,6917,8222,6902076
20.0,,healthy,subjects,9.0,11.0,67.8,56-77,56.0,77.0,,1.0,6917,8222,6902076
53.0,T2DM,patients,,,,,,,,,,7017,9210,7829678
39.0,,healthy,HC,,,,,,,,,7017,9210,7829678
28.0,,healthy,,15.0,13.0,26.39,3.77 years,,,,1.0,8040,10638,7481390
16.0,DLB,patients,,,,,,,,,,7293,9018,3984441
17.0,,healthy,,,,,,,,,,7293,9018,3984441
46.0,,healthy,,32.0,14.0,22.61,,,,,,9299,12877,7745153
17.0,,healthy,,,,,,,,,,14497,15232,3780305
19.0,,healthy,,13.0,6.0,40.0,18-40,18.0,40.0,35.0,,37350,38168,6787094
46.0,"drug-naive, first-episode schizophrenia",patients,,,,,,,,,,10028,12384,6197719
46.0,,healthy,,,,,,,,,,10028,12384,6197719
46.0,,healthy,,,,,,,,,,10028,12384,6197719
104.0,WMHs,patients,mild,,,,,,,,1.0,7581,10145,8315277
37.0,,healthy,,,,,,,,,1.0,7581,10145,8315277
10.0,chronic marijuana (MJ) users,patients,,8.0,2.0,,,,,,,7512,11306,3742334
18.0,,healthy,,11.0,7.0,,,,,,,7512,11306,3742334
11.0,depressed patients,patients,,5.0,6.0,61.8,,,,,,6061,7568,4589842
11.0,,healthy,,5.0,6.0,56.8,,,,,,6061,7568,4589842
19.0,MDD,patients,,,,,,,,,,7093,8833,7875881
17.0,,healthy,controls,,,,,,,,,7093,8833,7875881
32.0,healthy,volunteers,,,,,,,,,,8670,11952,8018944
27.0,patients,patients,,,,,,,,,,7983,10239,5903407
24.0,,healthy,,,,,,,,,,7983,10239,5903407
30.0,ADHD,patients,boys,30.0,0.0,,,,,,,9065,12151,4190683
30.0,,healthy,boys,30.0,0.0,,,,,,,9065,12151,4190683
24.0,,healthy,,,,,,,,,,6711,7624,3502502
12.0,,patients,,,,,,,,,,6711,7624,3502502
90.0,,healthy,CON,,,,,,,,,8377,10336,7416060
54.0,cannabis users,patients,CAN,,,,,,,,,8377,10336,7416060
12.0,young adults,patients,,8.0,4.0,25.2,2.4 years,,,,1.0,8877,12685,6585311
10.0,chronic post-stroke hemiparesis,patients,,6.0,4.0,66.7,7.94 years,,,,1.0,8877,12685,6585311
9.0,age-matched control participants,patients,,4.0,5.0,64.2,7.73 years,,,,1.0,8877,12685,6585311
20.0,perinatal stroke,patients,stroke participants,10.0,10.0,12.0,6-19,6.0,19.0,12.0,,10157,11478,8785614
20.0,,healthy,control participants,10.0,10.0,12.0,6-19,6.0,19.0,12.0,,10157,11478,8785614
160.0,,healthy,,115.0,45.0,37.04,19-59,19.0,59.0,37.0,,10065,13228,7721229
151.0,SZ,patients,,115.0,36.0,38.77,18-62,18.0,62.0,38.0,,10065,13228,7721229
314.0,,healthy,,249.0,65.0,17.04,6.47-56.20,6.47,56.2,17.04,,10065,13228,7721229
255.0,ASD,patients,,224.0,31.0,17.05,7.00-55.40,7.0,55.4,17.05,,10065,13228,7721229
13.0,right MCA territory infarction,patients,male,13.0,0.0,,,,,,,4472,5608,8154462
11.0,,healthy,male,11.0,0.0,,,,,,,4472,5608,8154462
66.0,TLE patients with unilateral hippocampal sclerosis (HS),patients,left,,,,,,,,1.0,8349,9763,8933317
31.0,,healthy,,,,,,,,,1.0,8349,9763,8933317
28.0,ASD,patients,,20.0,8.0,14.58,14.58-16.62,14.58,16.62,,,13173,14739,8213933
27.0,,healthy,matched controls,18.0,9.0,14.49,14.49-15.51,14.49,15.51,,,13173,14739,8213933
23.0,,healthy,,,,,,,,,,7481,8731,5761874
25.0,temporal lobe epilepsy,patients,,,,,,,,,,7481,8731,5761874
18.0,ASC,patients,high-functioning adults,,,30.4,,,,,,10617,12494,4265725
18.0,typically-developing,controls,,,,28.6,,,,,,10617,12494,4265725
15.0,PTSD,patients,,,,,,,,,,15850,19588,8785646
15.0,healthy,participants,,,,,,,,,,15850,19588,8785646
40.0,healthy,patients,2/3,20.0,20.0,20.5,18-23,18.0,23.0,20.0,,5472,7428,3520927
40.0,healthy,patients,3/4,20.0,20.0,20.5,18-23,18.0,23.0,20.0,,5472,7428,3520927
1.0,GNE myopathy,patients,patient,1.0,0.0,,,,,,3.0,7367,10738,8978988
120.0,ADHD,patients,children and adolescents,80.0,40.0,12.0,8-18,8.0,18.0,11.0,,7940,10880,8782893
29.0,,healthy,,,,,,,,,,9392,10386,7563756
18.0,nAMD,patients,,9.0,9.0,55.0,55-,55.0,,,1.0,16185,17940,8544331
18.0,,healthy,,9.0,9.0,,,,,,1.0,16185,17940,8544331
112.0,,healthy,,,,,,,,,,5395,7240,8752963
89.0,,patients,,,,,,,,,,5395,7240,8752963
163.0,,healthy,,117.0,46.0,36.9,,,,,2.0,12727,16419,6611425
151.0,SZ,patients,age- and gender matched,114.0,37.0,37.8,,,,,2.0,12727,16419,6611425
38.0,ADHD,patients,,18.0,20.0,,,,,,,7742,10511,6347794
76.0,,healthy,,60.0,16.0,49.9,40-60,40.0,60.0,49.9,,45406,48741,9205431
38.0,APOE-4 carriers,noncarriers,,16.0,22.0,,,,,,,45406,48741,9205431
20.0,Tourette syndrome,patients,,,,,,,,,,6179,7775,3877773
17.0,,healthy,children,,,,,,,,,6179,7775,3877773
21.0,Parkinson's disease,patients,,13.0,8.0,60.8,44-73 years,44.0,73.0,,,5559,6387,3182403
13.0,experienced HA users,patients,eHA,,,4.5,,,,,,8835,10592,6509414
14.0,inexperienced HA users,patients,iHA,,,,,,,,,8835,10592,6509414
20.0,healthy,children,native English speaking,,,5.8,5.2 to 6.8 years,5.2,6.8,,1.0,12283,13600,4274095
20.0,probable or definite sporadic ALS,patients,,20.0,0.0,,,,,,,7348,8813,3447931
6.0,affective violence,offenders,VA,6.0,0.0,,,,,,,4708,5988,9230060
7.0,predatory violence,offenders,VP,7.0,0.0,,,,,,,4708,5988,9230060
7.0,non-violent crime,offenders,NV,7.0,0.0,,,,,,,4708,5988,9230060
20.0,,healthy,controls,20.0,0.0,,,,,,,4708,5988,9230060
284.0,,healthy,,71.0,140.0,25.6,25-31,25.0,31.0,,,9266,11511,4319399
15.0,phobic prone,patients,,,,,,,,,,8290,11062,3002948
15.0,eating disorders prone,patients,,,,,,,,,,8290,11062,3002948
23.0,,healthy,righthanded,,,,,,,,,5173,8811,5324609
62.0,panic disorder and agoraphobia,patients,,,,,,,,,,8526,10737,6854061
39.0,,healthy,,,,,,,,,,8526,10737,6854061
113.0,panic disorder and agoraphobia,patients,,,,,,,,,,8526,10737,6854061
99.0,,healthy,,,,,,,,,,8526,10737,6854061
25.0,,healthy,,14.0,10.0,33.2,21-48,21.0,48.0,33.5,,9389,12145,6412974
18.0,JME patients,patients,,3.0,15.0,30.1,20-48,20.0,48.0,30.1,,9389,12145,6412974
24.0,MSA c-type,patients,,,,,,,,,,27477,29306,7485713
20.0,,healthy,,,,,,,,,,27477,29306,7485713
50.0,CSOs,patients,convicted,40.0,10.0,35.0,20-50,20.0,50.0,30.0,,33032,36829,6678781
30.0,CSOs,patients,non-convicted,25.0,5.0,40.0,25-55,25.0,55.0,45.0,,33032,36829,6678781
20.0,,healthy,controls,10.0,10.0,30.0,20-40,20.0,40.0,30.0,,33032,36829,6678781
15.0,pedophiles,patients,hands-off,12.0,3.0,50.0,40-60,40.0,60.0,55.0,,33032,36829,6678781
100.0,FES,patients,drugnave,,,,,,,,1.0,9332,11452,9435010
50.0,,healthy,controls,,,,,,,,1.0,9332,11452,9435010
16.0,ASD,patients,,16.0,0.0,13.0,8-18,8.0,18.0,13.0,,7481,9124,5279905
16.0,,healthy,,16.0,0.0,,,,,,,7481,9124,5279905
20.0,MdDS,patients,,5.0,15.0,43.4,2.50,27.0,66.0,43.5,,12585,13447,3510214
20.0,,healthy,,,,43.0,2.91,23.0,59.0,,,12585,13447,3510214
21.0,PTSD,patients,,,,,,,,,,7905,9151,5030332
34.0,ADP,patients,abstinent,34.0,0.0,,,,,,,10741,12545,5413198
26.0,,healthy,,26.0,0.0,,,,,,,10741,12545,5413198
20.0,,healthy,,7.0,13.0,25.53,,,,,,39930,43391,2561002
10.0,,healthy,,4.0,6.0,25.82,,,,,,39930,43391,2561002
10.0,,healthy,,3.0,7.0,25.23,,,,,,39930,43391,2561002
3.0,LMTLE,patients,,,,,,,,,1.0,14113,14609,8933759
63.0,healthy,patients,women,0.0,63.0,24.35,24.3-50,24.3,50.0,24.35,,5351,8476,5068584
28.0,IA,patients,adolescents,,,,,,,,,12909,14925,4030253
27.0,,healthy,subjects,,,,,,,,,12909,14925,4030253
23.0,refractory epilepsy of the temporal lobe,patients,native Spanish,8.0,15.0,,,,,,2.0,7012,9327,4017227
12.0,,healthy,,,,,,,,,2.0,7012,9327,4017227
11.0,,healthy,,,,,,,,,2.0,7012,9327,4017227
19.0,,healthy,native Spanish,10.0,9.0,,,,,,2.0,7012,9327,4017227
173.0,TSC,patients,unrelated,,,,,,,,,5201,8942,9308181
20.0,,healthy,,,,,,,,,4.0,21198,22751,4352055
163.0,,healthy,,117.0,46.0,36.9,,,,,,12793,13992,9057100
151.0,SZ,patients,,114.0,37.0,37.8,,,,,,12793,13992,9057100
75.0,chronic dieters,participants,females,0.0,75.0,19.38,18-23,18.0,23.0,,,11781,14592,5460048
14.0,,healthy,,,,,,,,,1.0,13042,14927,6016936
10.0,,healthy,,,,,,,,,1.0,13042,14927,6016936
6.0,PCH,patients,,6.0,0.0,,,,,,,8676,10310,9461104
102.0,,healthy,,36.0,66.0,21.5,20 to 23,20.0,23.0,,1.0,8012,10968,3775427
228.0,,healthy,,,,,,,,,,27161,31007,6492297
1.0,autism,patients,children,1.0,0.0,8.0,8,8.0,8.0,8.0,,31900,35502,9407088
2.0,autism,patients,adults,2.0,0.0,57.0,50-64,50.0,64.0,57.0,,31900,35502,9407088
